"Date and time","SMV340200 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340201 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340202 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340203 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340204 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340205 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340206 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340207 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340208 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340209 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340210 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340211 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340212 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340213 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340230 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340232 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340233 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340234 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340262 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340263 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-9DQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-BDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-CDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-DDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-FDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()"
"2025-06-13T21:00:00-03:00","17169.775547","17444.719218","17697.661999","17976.286194","24646.667605","22419.372751","20829.265907","21550.880696","3907.866976","21767.208615","25111.7952","25231.628956","19873.484812","14270.759625","22455.5","20312.117756","18220.738017","19838.582367","23615.478224","20248.465806","21306.010084","22435.719208","21791.492534","20937.042788","20927.520902"
"2025-06-14T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-15T21:00:00-03:00","16462.418517","","16411.796639","17224.801527","22895.565511","22615.727459","20907.181578","","25814.606781","","","20547.249276","20120.418343","18080.6463","20625","","17293.484286","","22718.333768","","21801.104867","17757.657598","21120.759044","21366.010601",""
"2025-06-16T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-17T21:00:00-03:00","17219.444079","17561.123873","17637.192","18833.502869","23825.623891","21973.70509","21210.491523","22460.035548","26604.319513","24795.15684","23585.743484","21823.370727","3224.86383","20004.477115","21685.375","19568.524742","18707.832614","20578.937782","23647.068685","20997.403172","23154.132325","15661.505064","21575.49792","22954.612144","21257.920033"
"2025-06-18T21:00:00-03:00","17161.885585","16528.540089","17555.141357","18701.704905","23612.022101","22435.206771","20665.48191","20797.293666","25193.709374","24545.521163","6161.180392","24744.775819","20622.285937","20157.196416","22180.75","19910.633508","18616.069083","20643.394549","23586.052017","21231.169747","22958.602921","15672.020328","21300.474777","23032.800658","20921.975471"
"2025-06-19T21:00:00-03:00","16663.346018","16900.944492","16731.704459","17795.597021","23240.954778","22260.680224","20198.876363","0","24176.696767","23753.644835","21916.861768","24192.83304","19460.934152","18702.054481","21011.375","19550.162943","17409.942041","19705.726077","22471.134151","20300.429376","22393.219925","15313.369428","20856.695215","22221.275122","20271.962776"
"2025-06-20T21:00:00-03:00","16994.199674","17323.668718","17064.974673","18203.056666","23840.699037","22954.733861","20699.062561","20730.805848","24851.014448","24330.216731","22612.045355","24632.740159","20232.706751","19274.493339","21885.375","20182.445232","18034.841281","20212.069603","23476.971619","20894.099307","22967.88292","15620.645589","21383.401312","22576.326012","20607.700543"
"2025-06-21T21:00:00-03:00","16972.230755","17244.149993","17272.238129","17822.736564","24175.918766","21998.299328","20835.216819","20673.798027","24283.890902","24162.949751","22309.598745","24566.571122","19054.030117","19544.564488","21922.125","20201.408268","19946.445697","19732.337721","23650.842126","6161.135244","23912.99157","15620.719644","21456.785714","23239.1936","20749.418666"
"2025-06-22T21:00:00-03:00","16846.679553","17063.979148","16806.87853","19007.353651","23498.984081","20973.151558","20630.172973","20703.05773","","","22925.685941","","18128.170027","20014.989025","21413.5","20202.993981","20949.749154","19555.04663","23296.78156","18102.502605","23536.65467","15603.136722","20681.29828","23738.124091",""
"2025-06-23T21:00:00-03:00","16955.164877","16873.697978","16499.658924","20555.852957","","20493.650773","20942.913316","","24054.942693","24040.854908","22298.997543","23953.620377","18864.717773","20413.30151","21998.375","20196.65749","21270.407013","20018.498454","","18446.032218","25708.74591","15599.414835","21271.665644","21506.138548","20789.172727"
"2025-06-24T21:00:00-03:00","17189.548252","17307.81664","16895.831722","20621.934009","24185.862871","20388.308828","21245.372126","21293.215874","24937.596469","24546.845803","23385.93051","25216.91697","18430.607385","19722.510211","","20413.862725","20491.673445","15927.283808","20068.294036","17990.059202","24632.772428","19897.129724","21175.338172","20876.116229","20927.780163"
"2025-06-25T21:00:00-03:00","17765.964122","17225.317949","17042.217087","20747.529275","23766.909166","20152.548429","21233.752248","21406.131223","24719.538709","24463.036252","23570.516499","24553.381196","18080.844373","19147.852864","21417.5","","3842.471735","19372.640013","23372.420478","17585.789286","24686.461556","21416.445049","21493.587507","20948.35854","21490.088769"
"2025-06-26T21:00:00-03:00","17094.215608","11643.355747","16686.281138","20216.708341","23170.982156","19661.502044","21184.885558","21030.444169","24319.273278","24208.171412","23159.301503","24649.112564","17822.013705","18804.066741","21003.125","19417.373881","19959.458683","19093.369243","22759.378918","17349.908412","24113.937811","20828.607736","21111.96842","20430.328074","20638.545345"
"2025-06-27T21:00:00-03:00","17205.679863","17729.727191","16970.021899","20722.609906","23504.003977","20073.235853","21483.156332","21464.3678","24943.724375","24836.976443","23505.77149","6126.366934","18209.83793","19222.201342","","19617.236231","20289.613801","","19649.193056","3517.469218","24841.395382","21401.394785","21422.053423","21231.299665","21201.645658"
"2025-06-28T21:00:00-03:00","17127.643609","17629.232179","16909.166123","20662.251639","27061.617558","20064.272235","21244.360561","23568.367359","23294.698193","23732.248334","23590.949756","24348.037831","","18703.639312","23128.875","21268.513394","19640.701811","18696.993461","25872.455055","17190.483739","24682.652598","21116.3018","21414.680369","21041.955778","20890.149519"
"2025-06-29T21:00:00-03:00","16801.124039","17366.061429","","19282.828763","27578.813773","20174.916864","20864.97484","23882.227036","22609.100172","22955.522323","23624.41634","23817.87705","17838.798295","18742.685797","23402.625","21094.031718","19658.863492","18798.191922","28044.155228","17061.198013","24551.085143","21205.357074","21300.780929","20903.808577","20601.712805"
"2025-06-30T21:00:00-03:00","17201.633021","17407.015973","16607.329017","20394.850475","13800.748621","20008.383118","21457.163066","","22727.027458","22808.829823","23609.022318","23280.471794","17756.305633","19158.425238","24331.5","20919.031812","20244.069085","19208.267095","28442.964757","17349.296383","24551.408147","21158.935413","21694.644976","21000.284049","21021.118296"
"2025-07-01T21:00:00-03:00","17679.755756","18023.836584","","21004.522133","26631.540882","20258.889836","21388.587203","25047.452266","23845.081305","23815.90338","24737.04836","24601.340112","18319.363115","18114.127147","23630","20531.74231","20489.961827","19547.731194","25585.971138","17895.609675","24635.665529","21155.645318","21327.358379","21024.474618","21427.143432"
