timestamp,consumo_kwh,metrica,equipamento_id
2025-06-12 14:45:00,713.0,min,SMV340200
2025-06-12 15:00:00,704.0,min,SMV340200
2025-06-12 15:15:00,708.0,min,SMV340200
2025-06-12 15:30:00,711.0,min,SMV340200
2025-06-12 15:45:00,707.0,min,SMV340200
2025-06-12 16:00:00,718.0,min,SMV340200
2025-06-12 16:15:00,717.0,min,SMV340200
2025-06-12 16:30:00,721.0,min,SMV340200
2025-06-12 16:45:00,719.0,min,SMV340200
2025-06-12 17:00:00,716.0,min,SMV340200
2025-06-12 17:15:00,709.0,min,SMV340200
2025-06-12 17:30:00,713.0,min,SMV340200
2025-06-12 17:45:00,717.0,min,SMV340200
2025-06-12 18:00:00,712.0,min,SMV340200
2025-06-12 18:15:00,716.0,min,SMV340200
2025-06-12 18:30:00,705.0,min,SMV340200
2025-06-12 18:45:00,715.0,min,SMV340200
2025-06-12 19:00:00,711.0,min,SMV340200
2025-06-12 19:15:00,710.0,min,SMV340200
2025-06-12 19:30:00,715.0,min,SMV340200
2025-06-12 19:45:00,717.0,min,SMV340200
2025-06-12 20:00:00,717.0,min,SMV340200
2025-06-12 20:15:00,718.0,min,SMV340200
2025-06-12 20:30:00,722.0,min,SMV340200
2025-06-12 20:45:00,715.0,min,SMV340200
2025-06-12 21:00:00,717.0,min,SMV340200
2025-06-12 21:15:00,714.0,min,SMV340200
2025-06-12 21:30:00,712.0,min,SMV340200
2025-06-12 21:45:00,719.0,min,SMV340200
2025-06-12 22:00:00,720.0,min,SMV340200
2025-06-12 22:15:00,714.0,min,SMV340200
2025-06-12 22:30:00,717.0,min,SMV340200
2025-06-12 22:45:00,717.0,min,SMV340200
2025-06-12 23:00:00,714.0,min,SMV340200
2025-06-12 23:15:00,716.0,min,SMV340200
2025-06-12 23:30:00,704.0,min,SMV340200
2025-06-12 23:45:00,709.0,min,SMV340200
2025-06-13 00:00:00,711.0,min,SMV340200
2025-06-13 00:15:00,713.0,min,SMV340200
2025-06-13 00:30:00,710.0,min,SMV340200
2025-06-13 00:45:00,707.0,min,SMV340200
2025-06-13 01:00:00,707.0,min,SMV340200
2025-06-13 01:15:00,702.0,min,SMV340200
2025-06-13 01:30:00,700.0,min,SMV340200
2025-06-13 01:45:00,713.0,min,SMV340200
2025-06-13 02:00:00,705.0,min,SMV340200
2025-06-13 02:15:00,700.0,min,SMV340200
2025-06-13 02:30:00,696.0,min,SMV340200
2025-06-13 02:45:00,696.0,min,SMV340200
2025-06-13 03:00:00,696.0,min,SMV340200
2025-06-13 03:15:00,694.0,min,SMV340200
2025-06-13 03:30:00,693.0,min,SMV340200
2025-06-13 03:45:00,695.0,min,SMV340200
2025-06-13 04:00:00,696.0,min,SMV340200
2025-06-13 04:15:00,692.0,min,SMV340200
2025-06-13 04:30:00,689.0,min,SMV340200
2025-06-13 04:45:00,691.0,min,SMV340200
2025-06-13 05:00:00,687.0,min,SMV340200
2025-06-13 05:15:00,688.0,min,SMV340200
2025-06-13 05:30:00,686.0,min,SMV340200
2025-06-13 05:45:00,686.0,min,SMV340200
2025-06-13 06:00:00,685.0,min,SMV340200
2025-06-13 06:15:00,686.0,min,SMV340200
2025-06-13 06:30:00,681.0,min,SMV340200
2025-06-13 06:45:00,684.0,min,SMV340200
2025-06-13 07:00:00,684.0,min,SMV340200
2025-06-13 07:15:00,682.0,min,SMV340200
2025-06-13 07:30:00,681.0,min,SMV340200
2025-06-13 07:45:00,683.0,min,SMV340200
2025-06-13 08:00:00,683.0,min,SMV340200
2025-06-13 08:15:00,684.0,min,SMV340200
2025-06-13 08:30:00,682.0,min,SMV340200
2025-06-13 08:45:00,683.0,min,SMV340200
2025-06-13 09:00:00,684.0,min,SMV340200
2025-06-13 09:15:00,682.0,min,SMV340200
2025-06-13 09:30:00,685.0,min,SMV340200
2025-06-13 09:45:00,689.0,min,SMV340200
2025-06-13 10:00:00,690.0,min,SMV340200
2025-06-13 10:15:00,690.0,min,SMV340200
2025-06-13 10:30:00,690.0,min,SMV340200
2025-06-13 10:45:00,690.0,min,SMV340200
2025-06-13 11:00:00,692.0,min,SMV340200
2025-06-13 11:15:00,694.0,min,SMV340200
2025-06-13 11:30:00,693.0,min,SMV340200
2025-06-13 11:45:00,700.0,min,SMV340200
2025-06-13 12:00:00,698.0,min,SMV340200
2025-06-13 12:15:00,700.0,min,SMV340200
2025-06-13 12:30:00,702.0,min,SMV340200
2025-06-13 12:45:00,703.0,min,SMV340200
2025-06-13 13:00:00,703.0,min,SMV340200
2025-06-13 13:15:00,699.0,min,SMV340200
2025-06-13 13:30:00,703.0,min,SMV340200
2025-06-13 13:45:00,699.0,min,SMV340200
2025-06-13 14:00:00,701.0,min,SMV340200
2025-06-13 14:15:00,706.0,min,SMV340200
2025-06-13 14:30:00,700.0,min,SMV340200
2025-06-13 14:45:00,707.0,min,SMV340200
2025-06-13 15:00:00,705.0,min,SMV340200
2025-06-13 15:15:00,709.0,min,SMV340200
2025-06-13 15:30:00,707.0,min,SMV340200
2025-06-13 15:45:00,712.0,min,SMV340200
2025-06-13 16:00:00,723.0,min,SMV340200
2025-06-13 16:15:00,739.0,min,SMV340200
2025-06-13 16:30:00,728.0,min,SMV340200
2025-06-13 16:45:00,719.0,min,SMV340200
2025-06-13 17:00:00,733.0,min,SMV340200
2025-06-13 17:15:00,732.0,min,SMV340200
2025-06-13 17:30:00,734.0,min,SMV340200
2025-06-13 17:45:00,734.0,min,SMV340200
2025-06-13 18:00:00,725.0,min,SMV340200
2025-06-13 18:15:00,727.0,min,SMV340200
2025-06-13 18:30:00,724.0,min,SMV340200
2025-06-13 18:45:00,705.0,min,SMV340200
2025-06-13 19:00:00,726.0,min,SMV340200
2025-06-13 19:15:00,739.0,min,SMV340200
2025-06-13 19:30:00,727.0,min,SMV340200
2025-06-13 19:45:00,726.0,min,SMV340200
2025-06-13 20:00:00,727.0,min,SMV340200
2025-06-13 20:15:00,726.0,min,SMV340200
2025-06-13 20:30:00,746.0,min,SMV340200
2025-06-13 20:45:00,731.0,min,SMV340200
2025-06-13 21:00:00,732.0,min,SMV340200
2025-06-13 21:15:00,731.0,min,SMV340200
2025-06-13 21:30:00,719.0,min,SMV340200
2025-06-13 21:45:00,739.0,min,SMV340200
2025-06-13 22:00:00,732.0,min,SMV340200
2025-06-13 22:15:00,737.0,min,SMV340200
2025-06-13 22:30:00,714.0,min,SMV340200
2025-06-13 22:45:00,724.0,min,SMV340200
2025-06-13 23:00:00,723.0,min,SMV340200
2025-06-13 23:15:00,742.0,min,SMV340200
2025-06-13 23:30:00,727.0,min,SMV340200
2025-06-13 23:45:00,731.0,min,SMV340200
2025-06-14 00:00:00,734.0,min,SMV340200
2025-06-14 00:15:00,736.0,min,SMV340200
2025-06-14 00:30:00,738.0,min,SMV340200
2025-06-14 00:45:00,735.0,min,SMV340200
2025-06-14 01:00:00,736.0,min,SMV340200
2025-06-14 01:15:00,729.0,min,SMV340200
2025-06-14 01:30:00,715.0,min,SMV340200
2025-06-14 01:45:00,722.0,min,SMV340200
2025-06-14 02:00:00,723.0,min,SMV340200
2025-06-14 02:15:00,723.0,min,SMV340200
2025-06-14 02:30:00,716.0,min,SMV340200
2025-06-14 02:45:00,717.0,min,SMV340200
2025-06-14 03:00:00,714.0,min,SMV340200
2025-06-14 03:15:00,716.0,min,SMV340200
2025-06-14 03:30:00,733.0,min,SMV340200
2025-06-14 03:45:00,721.0,min,SMV340200
2025-06-14 04:00:00,724.0,min,SMV340200
2025-06-14 04:15:00,717.0,min,SMV340200
2025-06-14 04:30:00,715.0,min,SMV340200
2025-06-14 04:45:00,719.0,min,SMV340200
2025-06-14 05:00:00,710.0,min,SMV340200
2025-06-14 05:15:00,708.0,min,SMV340200
2025-06-14 05:30:00,709.0,min,SMV340200
2025-06-14 05:45:00,685.0,min,SMV340200
2025-06-14 06:00:00,678.0,min,SMV340200
2025-06-14 06:15:00,679.0,min,SMV340200
