"Date and time","SMV340200 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340201 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340202 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340203 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340204 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340205 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340206 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340207 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340208 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340209 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340210 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340211 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340212 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340213 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340230 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340232 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340233 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340234 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340262 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","SMV340263 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-9DQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-BDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-CDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-DDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)","idrac-FDQGPV3 - Peak Inlet Temperature (°C, Min. over last 15 min) (°C)"
"2025-06-10T19:45:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-10T20:00:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","18","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T20:15:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","19","26","","25","25","19","25","33","31","22","20","20","26"
"2025-06-10T20:30:00-03:00","20","30","23","27","23","33","24","32","23","28","23","28","19","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T20:45:00-03:00","21","30","23","27","23","33","24","32","23","28","23","28","19","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T21:00:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","19","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T21:15:00-03:00","21","30","23","27","24","33","24","32","23","28","23","28","18","26","","25","26","19","24","33","31","22","20","20","26"
"2025-06-10T21:30:00-03:00","20","30","23","27","24","33","24","32","23","28","23","28","18","26","","26","25","19","24","33","31","22","20","20","26"
"2025-06-10T21:45:00-03:00","20","30","23","27","23","33","24","32","23","28","23","28","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T22:00:00-03:00","20","30","23","27","23","33","24","32","23","","23","28","18","26","","26","25","19","24","33","31","22","20","20","26"
"2025-06-10T22:15:00-03:00","20","30","23","27","23","33","24","32","23","","23","28","18","26","","24","25","19","24","33","31","22","20","20","26"
"2025-06-10T22:30:00-03:00","20","30","23","27","23","33","24","32","23","28","23","28","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-10T22:45:00-03:00","20","30","23","28","23","33","24","32","23","28","23","28","18","26","","25","25","19","24","33","31","22","20","20","27"
"2025-06-10T23:00:00-03:00","20","30","22","28","24","33","24","32","23","28","23","28","18","26","","24","25","18","24","33","31","22","20","20","26"
"2025-06-10T23:15:00-03:00","20","30","22","28","23","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-10T23:30:00-03:00","20","30","22","28","23","33","24","32","23","28","23","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-10T23:45:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T00:00:00-03:00","20","30","22","28","25","33","24","32","23","28","23","28","18","26","","25","26","18","25","33","31","22","20","20","26"
"2025-06-11T00:15:00-03:00","20","30","22","28","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T00:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","26","18","25","33","31","22","20","20","26"
"2025-06-11T00:45:00-03:00","20","30","22","27","24","33","24","33","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T01:00:00-03:00","20","30","22","28","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T01:15:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","24","26","18","24","33","31","22","20","20","26"
"2025-06-11T01:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T01:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T02:00:00-03:00","20","30","22","28","24","33","24","32","23","28","23","28","18","26","","25","26","18","25","33","31","22","20","","26"
"2025-06-11T02:15:00-03:00","20","30","22","27","25","33","24","32","23","28","23","28","18","26","","25","25","18","26","33","31","22","20","","26"
"2025-06-11T02:30:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","24","26","18","24","33","31","22","20","20","26"
"2025-06-11T02:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T03:00:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T03:15:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T03:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","25","","25","25","18","25","33","31","22","20","20","26"
"2025-06-11T03:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","26","25","18","24","33","31","22","20","20","26"
"2025-06-11T04:00:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","25","33","31","22","20","20","26"
"2025-06-11T04:15:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T04:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T04:45:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","27","25","18","24","33","31","22","20","20","26"
"2025-06-11T05:00:00-03:00","20","30","22","27","23","33","24","32","23","28","22","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T05:15:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","25","","25","25","18","25","33","31","22","20","","26"
"2025-06-11T05:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","24","25","18","24","33","31","22","20","","26"
"2025-06-11T05:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","24","26","18","24","33","31","22","20","20","26"
"2025-06-11T06:00:00-03:00","20","30","22","27","23","33","24","32","22","28","23","28","18","26","","26","25","18","24","33","31","22","20","20","26"
"2025-06-11T06:15:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","25","26","18","24","33","31","22","20","20","26"
"2025-06-11T06:30:00-03:00","20","30","22","27","23","33","24","32","23","28","23","28","18","26","","25","25","18","24","32","31","22","20","20","26"
"2025-06-11T06:45:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","26","25","18","24","32","31","22","20","20","26"
"2025-06-11T07:00:00-03:00","20","30","22","28","23","33","24","32","23","28","23","28","18","26","","25","25","18","24","32","31","22","20","20","26"
"2025-06-11T07:15:00-03:00","20","30","22","27","23","33","23","32","23","28","22","28","18","26","","25","25","18","24","32","31","22","20","20","26"
"2025-06-11T07:30:00-03:00","20","30","22","27","25","33","24","32","23","28","23","28","18","26","","25","25","18","25","33","31","22","20","20","26"
"2025-06-11T07:45:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T08:00:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","26","26","18","25","33","31","22","20","20","26"
"2025-06-11T08:15:00-03:00","20","30","22","27","23","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T08:30:00-03:00","20","30","22","28","23","33","24","32","23","28","22","27","18","26","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T08:45:00-03:00","20","30","22","27","25","33","24","32","23","28","22","28","18","26","","27","25","18","26","33","31","22","20","20","26"
"2025-06-11T09:00:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T09:15:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T09:30:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","25","25","18","25","33","31","22","20","20","26"
"2025-06-11T09:45:00-03:00","20","30","22","27","24","33","24","32","23","28","23","28","18","26","","26","25","18","24","33","31","22","20","20","26"
"2025-06-11T10:00:00-03:00","20","30","22","27","24","33","24","32","22","28","22","28","18","25","","25","25","18","25","33","31","22","20","20","26"
"2025-06-11T10:15:00-03:00","20","30","22","27","23","33","24","32","23","28","22","28","18","26","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T10:30:00-03:00","20","30","22","27","25","33","24","32","22","28","23","28","18","26","","25","25","18","26","33","31","22","20","20","26"
"2025-06-11T10:45:00-03:00","20","30","22","27","23","33","24","32","23","28","22","28","18","26","","25","26","18","24","33","30","22","20","20","26"
"2025-06-11T11:00:00-03:00","20","30","22","27","24","33","24","32","23","28","22","28","18","26","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T11:15:00-03:00","20","30","22","27","24","33","24","32","23","28","22","27","18","26","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T11:30:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T11:45:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","25","25","18","24","32","31","22","20","20","26"
"2025-06-11T12:00:00-03:00","20","30","22","27","23","33","24","32","22","28","22","27","18","25","","26","25","18","24","33","31","22","20","20","26"
"2025-06-11T12:15:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T12:30:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T12:45:00-03:00","20","30","22","27","23","33","24","32","23","28","23","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T13:00:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T13:15:00-03:00","20","30","22","27","23","33","24","32","23","28","22","27","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T13:30:00-03:00","20","30","22","27","24","33","24","32","23","28","23","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T13:45:00-03:00","20","30","22","27","24","33","24","32","22","28","23","27","18","25","","24","25","18","24","32","31","22","20","20","26"
"2025-06-11T14:00:00-03:00","20","30","22","27","23","33","24","32","23","","23","27","18","25","","24","25","18","24","32","31","22","20","20","26"
"2025-06-11T14:15:00-03:00","20","30","22","27","23","33","24","32","23","","23","27","18","25","","25","25","18","23","32","31","22","20","20","26"
"2025-06-11T14:30:00-03:00","","","","","","","24","32","","28","","","18","","","","25","18","","33","","","","",""
"2025-06-11T14:45:00-03:00","","","","","","","24","32","","28","","","18","","","","25","18","","33","","","","",""
"2025-06-11T15:00:00-03:00","20","30","23","27","23","33","24","32","23","28","23","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T15:15:00-03:00","20","30","22","27","23","33","24","32","23","28","23","27","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T15:30:00-03:00","20","30","22","27","23","33","","","23","","23","27","","25","","25","","","24","","31","22","20","20","26"
"2025-06-11T15:45:00-03:00","21","30","23","27","24","33","","","23","","23","27","","25","","25","","","24","","31","22","20","20","27"
"2025-06-11T16:00:00-03:00","21","30","23","27","24","33","24","32","23","28","23","27","18","26","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T16:15:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","18","25","","25","25","18","24","33","31","22","20","20","26"
"2025-06-11T16:30:00-03:00","21","30","23","28","24","33","24","32","23","28","24","27","18","25","","24","25","18","24","33","31","22","20","20","26"
"2025-06-11T16:45:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","18","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T17:00:00-03:00","21","30","23","27","23","33","24","32","23","28","24","27","18","25","","25","25","19","24","33","31","22","20","20","27"
"2025-06-11T17:15:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","18","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T17:30:00-03:00","21","30","23","28","23","33","24","32","23","28","24","28","19","25","","24","26","19","24","33","31","22","20","20","26"
"2025-06-11T17:45:00-03:00","21","30","23","27","23","33","24","32","23","28","24","27","18","25","","25","26","19","24","33","31","22","20","20","27"
"2025-06-11T18:00:00-03:00","21","30","23","28","24","33","24","32","23","28","24","27","18","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T18:15:00-03:00","21","31","23","28","23","33","24","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T18:30:00-03:00","21","30","23","27","23","33","24","32","23","28","24","27","19","26","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T18:45:00-03:00","21","30","23","27","23","33","24","32","23","28","24","27","19","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T19:00:00-03:00","21","30","23","28","23","33","24","32","23","28","24","28","19","25","","24","26","19","24","33","31","22","20","20","26"
"2025-06-11T19:15:00-03:00","21","30","23","27","23","33","24","32","22","28","24","27","19","25","","24","26","19","24","33","31","22","20","20","26"
"2025-06-11T19:30:00-03:00","21","30","23","28","23","33","24","32","22","28","24","27","19","25","","24","26","19","24","34","31","22","20","20","26"
"2025-06-11T19:45:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","19","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T20:00:00-03:00","21","30","23","28","24","33","24","32","23","28","24","27","19","25","","25","26","19","25","33","31","22","20","20","26"
"2025-06-11T20:15:00-03:00","21","30","23","28","24","33","24","32","23","28","24","27","19","25","","25","25","19","24","33","31","22","20","20","26"
"2025-06-11T20:30:00-03:00","21","30","23","28","23","33","23","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T20:45:00-03:00","21","30","23","27","24","33","24","32","23","28","24","27","19","25","","26","26","19","25","33","31","22","20","20","27"
"2025-06-11T21:00:00-03:00","21","30","23","27","24","33","24","32","23","28","24","27","19","25","","25","26","19","25","33","31","22","20","20","27"
"2025-06-11T21:15:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T21:30:00-03:00","21","30","23","27","23","33","24","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T21:45:00-03:00","21","30","23","28","23","33","24","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T22:00:00-03:00","21","30","23","27","24","33","24","32","23","28","24","28","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T22:15:00-03:00","21","30","23","27","23","33","24","32","23","28","24","28","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T22:30:00-03:00","21","30","23","28","23","33","24","32","23","28","24","28","19","25","","24","26","19","24","33","31","22","20","20","26"
"2025-06-11T22:45:00-03:00","21","30","23","28","24","33","24","32","23","28","24","28","19","26","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T23:00:00-03:00","21","31","23","28","24","33","24","32","23","28","24","28","19","26","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T23:15:00-03:00","21","30","23","28","23","34","24","32","23","28","24","28","19","25","","24","25","19","24","33","31","22","20","20","26"
"2025-06-11T23:30:00-03:00","21","30","23","28","23","34","24","32","23","28","24","27","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-11T23:45:00-03:00","21","30","23","28","23","34","24","32","23","28","24","28","19","25","","25","26","19","24","34","31","22","20","20","26"
"2025-06-12T00:00:00-03:00","20","30","23","28","24","34","24","32","23","28","23","28","19","25","","24","26","19","25","33","31","22","20","20","26"
"2025-06-12T00:15:00-03:00","20","30","23","28","23","34","24","32","23","28","23","28","19","25","","24","26","19","24","33","31","22","20","20","26"
"2025-06-12T00:30:00-03:00","20","30","22","28","23","34","24","32","23","28","23","28","19","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-12T00:45:00-03:00","20","30","22","28","23","34","24","32","23","28","23","28","18","25","","25","26","19","24","33","31","22","20","20","26"
"2025-06-12T01:00:00-03:00","20","30","22","28","24","34","24","32","23","28","23","28","18","25","","25","26","18","25","33","31","22","20","20","26"
"2025-06-12T01:15:00-03:00","20","30","22","27","24","34","24","32","23","28","23","28","18","25","","24","26","18","24","33","31","22","20","20","26"
"2025-06-12T01:30:00-03:00","20","30","22","28","23","34","24","32","23","28","23","27","18","25","","25","26","18","24","33","31","22","20","20","26"
"2025-06-12T01:45:00-03:00","20","29","22","26","23","34","24","32","23","28","23","25","18","23","","25","26","18","24","33","31","22","20","20","26"
"2025-06-12T02:00:00-03:00","20","31","22","27","23","34","24","32","23","28","23","28","18","23","","25","26","18","24","33","30","22","20","20","25"
"2025-06-12T02:15:00-03:00","20","31","22","31","23","34","24","32","23","28","23","29","18","27","","25","26","18","24","33","31","22","20","20","27"
"2025-06-12T02:30:00-03:00","20","32","22","31","23","34","24","32","23","28","23","29","18","28","","25","26","18","24","33","31","22","20","20","27"
"2025-06-12T02:45:00-03:00","20","32","22","31","23","34","24","32","23","27","23","30","18","28","","25","24","18","24","33","31","22","20","20","27"
"2025-06-12T03:00:00-03:00","20","32","22","31","24","34","24","31","23","25","23","29","18","28","","24","26","18","24","33","31","22","20","20","27"
"2025-06-12T03:15:00-03:00","20","32","22","31","23","34","24","32","23","25","23","29","18","27","","26","29","18","24","33","31","22","20","20","27"
"2025-06-12T03:30:00-03:00","20","32","22","31","23","34","24","32","23","25","23","29","18","28","","24","29","18","24","33","31","22","20","20","27"
"2025-06-12T03:45:00-03:00","20","32","22","31","23","34","24","32","23","25","23","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T04:00:00-03:00","20","32","22","31","23","34","24","32","23","25","23","29","18","26","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T04:15:00-03:00","20","32","22","31","24","34","24","32","23","25","23","29","18","28","","25","29","18","25","33","31","22","20","20","27"
"2025-06-12T04:30:00-03:00","20","32","22","31","23","34","24","32","23","","23","30","18","28","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T04:45:00-03:00","20","32","22","31","24","34","24","32","23","","22","30","18","28","","25","30","18","24","33","31","22","20","20","27"
"2025-06-12T05:00:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","26","29","18","24","33","31","22","20","20","27"
"2025-06-12T05:15:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","26","30","18","24","33","31","22","20","20","27"
"2025-06-12T05:30:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","28","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T05:45:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T06:00:00-03:00","20","32","22","31","24","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T06:15:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","25","30","18","23","33","31","22","20","20","27"
"2025-06-12T06:30:00-03:00","20","32","22","31","24","33","24","32","23","25","23","30","18","28","","25","29","18","25","33","31","22","20","20","27"
"2025-06-12T06:45:00-03:00","20","32","22","31","23","33","24","32","23","25","23","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T07:00:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T07:15:00-03:00","20","32","22","31","23","33","24","32","23","25","23","29","18","27","","25","29","18","25","33","31","22","20","20","27"
"2025-06-12T07:30:00-03:00","20","32","22","31","24","33","24","32","23","25","22","29","18","28","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T07:45:00-03:00","20","32","22","31","24","33","24","32","23","25","22","29","18","28","","25","30","18","25","33","31","22","20","20","27"
"2025-06-12T08:00:00-03:00","20","32","22","31","24","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T08:15:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","27","","24","29","18","24","33","31","22","20","20","27"
"2025-06-12T08:30:00-03:00","20","32","22","31","23","33","24","32","23","25","22","29","18","28","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T08:45:00-03:00","20","32","22","31","25","33","24","32","23","25","22","29","18","28","","25","30","18","26","33","31","22","20","20","27"
"2025-06-12T09:00:00-03:00","20","31","22","31","23","33","24","32","22","25","22","29","18","27","","26","29","18","24","33","31","22","20","20","27"
"2025-06-12T09:15:00-03:00","20","31","22","31","23","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T09:30:00-03:00","20","31","22","31","25","33","24","32","23","25","22","29","18","27","","24","29","18","26","33","31","22","20","20","27"
"2025-06-12T09:45:00-03:00","20","31","22","31","23","33","24","32","23","25","22","29","18","28","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T10:00:00-03:00","20","31","22","31","23","33","24","32","23","25","22","29","18","27","","25","29","18","24","33","31","22","20","20","27"
"2025-06-12T10:15:00-03:00","20","31","22","31","24","33","24","32","23","25","22","29","18","28","","26","29","18","25","33","31","22","20","20","27"
"2025-06-12T10:30:00-03:00","20","31","22","31","24","33","24","32","23","25","22","29","18","27","","26","29","18","25","32","31","22","20","20","27"
"2025-06-12T10:45:00-03:00","20","31","22","31","25","33","24","32","22","25","22","29","18","27","","25","29","18","25","32","31","22","20","20","27"
"2025-06-12T11:00:00-03:00","20","31","22","31","23","33","24","32","22","25","22","29","18","27","","24","29","18","24","32","31","22","20","20","27"
"2025-06-12T11:15:00-03:00","20","31","22","31","23","33","23","32","22","25","22","29","18","27","","24","29","18","23","32","31","22","20","20","27"
"2025-06-12T11:30:00-03:00","20","32","22","31","24","33","24","32","22","25","22","29","18","27","","25","29","18","24","32","31","24","20","20","27"
"2025-06-12T11:45:00-03:00","20","32","22","31","23","33","24","32","22","25","22","30","18","28","","25","29","18","24","32","31","24","20","20","27"
"2025-06-12T12:00:00-03:00","20","32","22","31","24","33","23","32","22","25","22","29","18","27","","25","29","18","24","33","31","24","20","20","27"
"2025-06-12T12:15:00-03:00","20","32","22","31","23","33","23","32","22","25","22","29","18","27","","24","29","18","24","33","31","24","20","20","27"
"2025-06-12T12:30:00-03:00","20","31","22","31","23","33","23","32","23","25","22","29","18","27","","24","29","18","24","33","31","24","20","20","27"
